-2	0	0	0	0	
-1.96	0.196821	-0.0015718	-0.573702	-0.0366951	
-1.92	0.387371	-0.00337321	-1.11377	-0.0739972	
-1.88	0.571776	-0.00543032	-1.62197	-0.111847	
-1.84	0.750165	-0.00777086	-2.09996	-0.150183	
-1.8	0.922667	-0.0104242	-2.54934	-0.188945	
-1.76	1.08941	-0.013421	-2.97161	-0.22807	
-1.72	1.25052	-0.0167932	-3.3682	-0.267496	
-1.68	1.40612	-0.0205738	-3.74048	-0.30716	
-1.64	1.55635	-0.0247964	-4.08976	-0.346998	
-1.6	1.70133	-0.0294948	-4.41725	-0.386947	
-1.56	1.8412	-0.0347028	-4.72413	-0.426942	
-1.52	1.97607	-0.0404534	-5.01152	-0.46692	
-1.48	2.10607	-0.0467787	-5.28047	-0.506817	
-1.44	2.23134	-0.053709	-5.53198	-0.546569	
-1.4	2.352	-0.0612722	-5.76701	-0.586112	
-1.36	2.46819	-0.0694932	-5.98647	-0.625383	
-1.32	2.58002	-0.0783932	-6.19121	-0.66432	
-1.28	2.68762	-0.0879889	-6.38206	-0.702859	
-1.24	2.79113	-0.0982918	-6.55978	-0.74094	
-1.2	2.89068	-0.109308	-6.72511	-0.7785	
-1.16	2.98638	-0.121036	-6.87876	-0.815482	
-1.12	3.07837	-0.133468	-7.02137	-0.851824	
-1.08	3.16678	-0.146587	-7.15359	-0.887469	
-1.04	3.25173	-0.160371	-7.27601	-0.92236	
-1	3.33335	-0.174784	-7.3892	-0.956441	
-0.96	3.41177	-0.189785	-7.49368	-0.989658	
-0.92	3.48712	-0.205322	-7.58997	-1.02196	
-0.88	3.55953	-0.221334	-7.67855	-1.05329	
-0.84	3.62912	-0.237749	-7.75988	-1.0836	
-0.8	3.69603	-0.254489	-7.83438	-1.11284	
-0.76	3.76037	-0.271464	-7.90248	-1.14097	
-0.72	3.82229	-0.288577	-7.96455	-1.16794	
-0.68	3.88189	-0.305725	-8.02097	-1.1937	
-0.64	3.93933	-0.322796	-8.07208	-1.21822	
-0.6	3.99471	-0.339675	-8.11822	-1.24146	
-0.56	4.04818	-0.356241	-8.15969	-1.26338	
-0.52	4.09985	-0.372371	-8.19679	-1.28394	
-0.48	4.14986	-0.387939	-8.2298	-1.30312	
-0.44	4.19834	-0.402823	-8.25898	-1.32087	
-0.4	4.2454	-0.416899	-8.28458	-1.33718	
-0.36	4.29119	-0.430048	-8.30684	-1.35201	
-0.32	4.33582	-0.442156	-8.32598	-1.36535	
-0.28	4.37943	-0.453117	-8.34221	-1.37717	
-0.24	4.42215	-0.462831	-8.35574	-1.38745	
-0.2	4.4641	-0.47121	-8.36674	-1.39618	
-0.16	4.50541	-0.478175	-8.37539	-1.40333	
-0.12	4.5462	-0.483662	-8.38187	-1.40891	
-0.08	4.58661	-0.487618	-8.38633	-1.41291	
-0.04	4.62677	-0.490007	-8.38891	-1.4153	
0	4.6668	-0.490805	-8.38976	-1.4161	
0.04	4.70683	-0.490004	-8.38901	-1.4153	
0.08	4.74699	-0.487612	-8.38679	-1.4129	
0.12	4.7874	-0.483653	-8.38321	-1.4089	
0.16	4.8282	-0.478164	-8.37838	-1.40332	
0.2	4.86951	-0.471196	-8.3724	-1.39616	
0.24	4.91146	-0.462816	-8.36538	-1.38743	
0.28	4.95418	-0.4531	-8.3574	-1.37714	
0.32	4.9978	-0.442138	-8.34854	-1.36532	
0.36	5.04244	-0.430029	-8.3389	-1.35198	
0.4	5.08823	-0.41688	-8.32855	-1.33714	
0.44	5.1353	-0.402804	-8.31755	-1.32083	
0.48	5.18378	-0.387922	-8.30598	-1.30307	
0.52	5.2338	-0.372354	-8.29389	-1.2839	
0.56	5.28548	-0.356226	-8.28134	-1.26333	
0.6	5.33896	-0.339662	-8.26839	-1.24141	
0.64	5.39435	-0.322786	-8.25509	-1.21817	
0.68	5.4518	-0.305717	-8.24149	-1.19365	
0.72	5.51142	-0.288572	-8.22763	-1.16788	
0.76	5.57334	-0.271461	-8.21355	-1.14091	
0.8	5.6377	-0.25449	-8.19929	-1.11278	
0.84	5.70462	-0.237753	-8.18489	-1.08354	
0.88	5.77422	-0.221341	-8.17038	-1.05323	
0.92	5.84664	-0.205332	-8.15579	-1.02189	
0.96	5.92201	-0.189798	-8.14114	-0.989595	
1	6.00045	-0.1748	-8.12648	-0.956377	
1.04	6.08209	-0.160389	-8.11181	-0.922296	
